"i" "era" "col" "X" "Y" "mutType"
36 "late" "red" 8.75 19.3653903944735 "NNRTI"
37 "early" "blue" 9 11.2983699936232 "PI"
37 "early" "green" 9 32.3928100867438 "3TC/FTC"
37 "early" "orange" 9 17.2455450096049 "NRTI"
37 "early" "red" 9 33.0492487383035 "NNRTI"
37 "late" "blue" 9 5.835434208975 "PI"
37 "late" "green" 9 20.3263177994378 "3TC/FTC"
37 "late" "orange" 9 10.8845797329051 "NRTI"
37 "late" "red" 9 19.7709180799427 "NNRTI"
38 "early" "blue" 9.25 11.3293425760482 "PI"
38 "early" "green" 9.25 32.8490001504548 "3TC/FTC"
38 "early" "orange" 9.25 17.5502624225446 "NRTI"
38 "early" "red" 9.25 33.5053244722471 "NNRTI"
38 "late" "blue" 9.25 5.93813092266905 "PI"
38 "late" "green" 9.25 20.5299962803128 "3TC/FTC"
38 "late" "orange" 9.25 10.9871621168316 "NRTI"
38 "late" "red" 9.25 20.1765029302958 "NNRTI"
39 "early" "blue" 9.5 11.3310297340761 "PI"
39 "early" "green" 9.5 33.2040941172174 "3TC/FTC"
39 "early" "orange" 9.5 17.8043174572425 "NRTI"
39 "early" "red" 9.5 33.9109093226001 "NNRTI"
39 "late" "blue" 9.5 5.99027958788886 "PI"
39 "late" "green" 9.5 20.7841084798945 "3TC/FTC"
39 "late" "orange" 9.5 10.9889342282285 "NRTI"
39 "late" "red" 9.5 20.2287087603994 "NNRTI"
40 "early" "blue" 9.75 11.5664379012707 "PI"
40 "early" "green" 9.75 33.2562427824372 "3TC/FTC"
40 "early" "orange" 9.75 17.8565232873461 "NRTI"
40 "early" "red" 9.75 34.1145306385913 "NNRTI"
40 "late" "blue" 9.75 5.99199453440198 "PI"
40 "late" "green" 9.75 20.8363143099981 "3TC/FTC"
40 "late" "orange" 9.75 11.0410257285645 "NRTI"
40 "late" "red" 9.75 20.280914590503 "NNRTI"
41 "early" "blue" 10 11.5973443206357 "PI"
41 "early" "green" 10 33.308391447657 "3TC/FTC"
41 "early" "orange" 10 17.9592200010401 "NRTI"
41 "early" "red" 10 34.3182091194663 "NNRTI"
41 "late" "blue" 10 5.99359515114757 "PI"
41 "late" "green" 10 21.1409173931702 "3TC/FTC"
41 "late" "orange" 10 11.0932887235519 "NRTI"
41 "late" "red" 10 20.3330632557228 "NNRTI"
